group,names,scores,logfoldchanges,pvals_adj
8,MUC5B,26.07552,2.5232313,2.795634768881983e-146
8,TNFSF10,25.62519,2.0760095,2.694796167356094e-141
8,PVALB,24.561537,2.5686624,9.408828652304587e-130
8,IGFBP5,24.276588,1.2506893,8.759647302746463e-127
8,EXOC2,24.101719,2.7023947,5.388974116110454e-125
8,LINC00645,22.937578,4.1174316,3.604550333437365e-113
8,GATA3,22.840078,1.3623492,3.091013763717741e-112
8,SDC4,22.298994,1.5415382,5.879271694516232e-107
8,COLEC12,22.214174,2.7633157,3.6195224238500903e-106
8,XBP1,22.19691,0.998291,4.960241205399994e-106
8,CFB,22.056305,1.4609734,1.0504482488613069e-104
8,PBX1,21.669395,1.1025348,4.482831164310378e-101
8,ZNF703,21.644056,1.547117,7.360391443815236e-101
8,IL6ST,21.47803,1.6582736,2.526954228092042e-99
8,AGR3,21.296516,1.833218,1.1776925627268907e-97
8,DDR1,21.034142,1.5208527,2.937220177941945e-95
8,LDLRAD4,20.927961,1.6129985,2.620244011941416e-94
8,GRB2,20.493946,1.6718346,1.972404323000578e-90
8,PDCD4,20.469395,1.7886354,3.139562528486013e-90
8,RGL2,20.447771,1.7031745,4.710486640369112e-90
8,MPC2,20.14132,1.6615506,2.236440783152615e-87
8,AC010998.3,20.034956,2.9328992,1.841001712872851e-86
8,MLPH,20.008001,1.524421,3.0603337360925408e-86
8,ERLIN2,19.913208,1.8165307,1.9759826320478147e-85
8,LINC02224,19.811852,3.75711,1.4419198969693083e-84
8,ARHGAP8,19.733553,2.0337434,6.60771378226283e-84
8,AFP,19.630482,3.6718707,4.770139168592101e-83
8,TMEM101,19.583296,1.6683824,1.1734391147622348e-82
8,RBBP7,19.550203,1.6712312,2.1868438173251592e-82
8,ELP2,19.54344,1.8533043,2.4327905583610816e-82
8,REPS2,19.110859,2.378759,1.0368599560279189e-78
8,CDH1,18.968779,1.5143118,1.5242826034640632e-77
8,AGR2,18.89991,1.5853642,5.5016367330489065e-77
8,NFATC4,18.814,1.4662328,2.7277294165760167e-76
8,SOCS2,18.737194,2.311647,1.1320310840134563e-75
8,RAB11FIP1,18.687283,1.5750132,2.823948632143347e-75
8,RPS23,18.531958,0.6139161,5.014906985033319e-74
8,ST8SIA6-AS1,18.496584,2.2322059,9.46618926979626e-74
8,FAM110A,18.384104,1.6820272,7.421208786477787e-73
8,ING1,18.314203,1.8183756,2.578780263920634e-72
8,SEMA3F,17.879786,1.3781095,6.467661311301759e-69
8,IER3,17.872053,1.5205683,7.292058756101423e-69
8,TBC1D9,17.627,1.42899,5.520779742220703e-67
8,SOX4,17.466347,1.5288482,9.015182011037781e-66
8,ILF2,17.421766,1.2261174,1.9336996722629238e-65
8,CRIP2,17.347849,1.0450311,6.902542836220212e-65
8,UGCG,17.291174,1.6119554,1.817756757591142e-64
9,MGP,20.697582,3.2818975,7.36560205791391e-91
9,SERPINA3,15.707524,1.8023224,1.3583458334625877e-51
9,COX6C,15.455896,1.3281817,4.641473166306618e-50
9,IER3,15.01,1.709853,3.1928894648145837e-47
9,KRT17,14.283569,3.9894454,1.120634722055176e-42
9,MMP7,14.00556,3.4305918,4.858676502639393e-41
9,S100A2,13.709812,3.7780259,2.5624115186274832e-39
9,SLC39A6,13.578363,1.554557,1.360520659536027e-38
9,KRT14,12.937038,4.033045,4.3273452984911085e-35
9,HK2,12.498344,1.6292868,1.1011439702264888e-32
9,SEMA3C,12.486821,2.0735142,1.1879333362754506e-32
9,CD24,12.459506,0.9917834,1.5691792108084644e-32
9,TM4SF1,12.302257,2.0500093,9.896550338803826e-32
9,RERG,12.196304,1.533777,3.4622399346607737e-31
9,MGST1,12.1039715,2.539117,1.0175441385953137e-30
9,IGF1R,12.0784,1.9868915,1.322979739252291e-30
9,DDR1,12.037515,1.089141,2.074465211248435e-30
9,ACTG1,11.927064,0.45343608,7.521724108882123e-30
9,S100A9,11.923501,1.6711451,7.523408566544855e-30
9,TFF1,11.899521,1.430338,9.629427031890499e-30
9,TOB1,11.795589,1.1480292,3.199515502977638e-29
9,ELP2,11.762917,1.3785427,4.4117435277647595e-29
9,CRABP2,11.7622595,0.8475239,4.4117435277647595e-29
9,KRT5,11.596319,4.45553,2.900181752366396e-28
9,CA12,11.553311,1.2986759,4.634147281309725e-28
9,SERPINA5,11.525869,1.5126233,6.176287183289571e-28
